,AAPL,PTCT,SNN
Cash Ratio,0.74,4.67,0.13
Current Ratio,1.28,5.27,2.03
Enterprise Value to EBITDA,13.06,-6.81,11.22
Enterprise Value to Sales,3.84,6.07,3.28
Gross Margin,38.01,,73.81
Income Per Employee,"393,098.00","-467,467.00",
Long-Term Debt to Equity,72.52,82.13,30.64
Long-Term Debt to Total Capital,38.93,45.09,23.35
Net Margin,21.15,-171.83,16.10
Operating Margin,26.26,-156.65,19.60
P/E Current,18.73,-6.15,18.65
P/E Ratio (with extraordinary items),17.61,-9.90,
P/E Ratio (without extraordinary items),16.73,,18.89
Pretax Margin,28.04,-171.14,18.32
Price to Book Ratio,5.89,3.12,
Price to Cash Flow Ratio,12.73,,
Price to Sales Ratio,3.54,4.49,
Quick Ratio,1.23,5.27,1.06
Receivables Turnover,7.04,4.59,4.04
Return on Assets,13.87,-44.59,10.13
Return on Equity,36.87,-82.24,17.95
Return on Invested Capital,22.23,-52.79,13.30
Return on Total Capital,20.80,-52.79,13.17
Revenue/Employee,"1,858,309.00","272,056.00",
Total Asset Turnover,0.66,0.26,0.63
Total Debt to Enterprise Value,0.14,0.41,
Total Debt to Total Assets,30.82,36.46,18.43
Total Debt to Total Capital,46.32,45.09,23.79
Total Debt to Total Equity,86.30,82.13,31.22
