,KO,NKE,WMT
Cash Ratio,0.76,1.13,0.09
Current Ratio,1.34,2.93,0.86
Enterprise Value to EBITDA,24.96,21.66,11.31
Enterprise Value to Sales,6.17,3.13,0.70
Gross Margin,62.56,43.43,25.54
Income Per Employee,,"56,989.00","5,932.00"
Long-Term Debt to Equity,182.65,27.98,54.01
Long-Term Debt to Total Capital,48.15,21.41,33.96
Net Margin,3.24,12.38,2.81
Operating Margin,21.18,12.59,4.54
P/E Current,150.07,26.75,28.28
P/E Ratio (with extraordinary items),,28.84,
P/E Ratio (without extraordinary items),158.21,21.11,15.24
Pretax Margin,19.04,14.26,4.22
Price to Book Ratio,11.45,7.02,2.61
Price to Cash Flow Ratio,28.36,24.63,6.59
Price to Sales Ratio,5.60,2.62,0.43
Quick Ratio,1.25,2.01,0.22
Receivables Turnover,9.41,9.69,84.67
Return on Assets,1.31,18.84,6.85
Return on Equity,5.72,34.38,17.23
Return on Invested Capital,2.27,28.13,11.16
Return on Total Capital,1.72,27.78,10.73
Revenue/Employee,,"460,403.00","210,932.00"
Total Asset Turnover,0.40,1.52,2.44
Total Debt to Enterprise Value,0.21,0.04,0.18
Total Debt to Total Assets,54.25,16.35,23.10
Total Debt to Total Capital,73.64,23.46,37.13
Total Debt to Total Equity,279.32,30.64,59.05
